Name,US State/District,Party Affiliation,Ballot 1,Ballot 2,Ballot 3,Ballot 4,Ballot 5,Ballot 6,Ballot 7,Ballot 8,Ballot 9,Ballot 10,Ballot 11
"Crawford, Eric",Arkansas 1st,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Crenshaw, Dan",Texas 2nd,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Crockett, Jasmine",Texas 30th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Crow, Jason",Colorado 6th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Cuellar, Henry",Texas 28th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Curtis, John",Utah 3rd,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"D'Esposito, Anthony",New York 4th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Davids, Sharice",Kansas 3rd,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Davidson, Warren",Ohio 8th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Davis, Danny",Illinois 7th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Davis, Donald",North Carolina 1st,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Dean, Madeleine",Pennsylvania 4th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"DeGette, Diana",Colorado 1st,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"De La Cruz, Monica",Texas 15th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"DeLauro, Rosa",Connecticut 3rd,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"DelBene, Suzan",Washington 1st,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Deluzio, Christopher",Pennsylvania 17th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"DeSaulnier, Mark",California 10th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"DesJarlais, Scott",Tennessee 4th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Diaz-Balart, Mario",Florida 26th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Dingell, Debbie",Michigan 6th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Doggett, Lloyd",Texas 37th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Donalds, Byron",Florida 19th,Republican Party,Kevin McCarthy,Kevin McCarthy,Jim Jordan,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds
"Duarte, John",California 13th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Duncan, Jeff",South Carolina 3rd,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Dunn, Neal",Florida 2nd,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Edwards, Chuck",North Carolina 11th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Ellzey, Jake",Texas 6th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Emmer, Tom",Minnesota 6th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Escobar, Veronica",Texas 16th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Eshoo, Anna",California 16th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Espaillat, Adriano",New York 13th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Estes, Ron",Kansas 4th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Evans, Dwight",Pennsylvania 3rd,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Ezell, Mike",Mississippi 4th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Fallon, Pat",Texas 4th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Feenstra, Randy",Iowa 4th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Ferguson, A.",Georgia 3rd,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Finstad, Brad",Minnesota 1st,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Fischbach, Michelle",Minnesota 7th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Fitzgerald, Scott",Wisconsin 5th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Fitzpatrick, Brian",Pennsylvania 1st,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Fleischmann, Charles",Tennessee 3rd,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Fletcher, Lizzie",Texas 7th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Flood, Mike",Nebraska 1st,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Foster, Bill",Illinois 11th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Foushee, Valerie",North Carolina 4th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Foxx, Virginia",North Carolina 5th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Frankel, Lois",Florida 22nd,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Franklin, C.",Florida 18th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Frost, Maxwell",Florida 10th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Fry, Russell",South Carolina 7th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Fulcher, Russ",Idaho 1st,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Gaetz, Matt",Florida 1st,Republican Party,Andy Biggs,Jim Jordan,Jim Jordan,Byron Donalds,Byron Donalds,Byron Donalds,Donald J. Trump,Donald J. Trump,Kevin Hern,Kevin Hern,Donald J. Trump
"Gallagher, Mike",Wisconsin 8th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Gallego, Ruben",Arizona 3rd,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Garamendi, John",California 8th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Garbarino, Andrew",New York 2nd,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Garcia, Jesus",Illinois 4th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Garcia, Mike",California 27th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Garcia, Robert",California 42nd,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Garcia, Sylvia",Texas 29th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Gimenez, Carlos",Florida 28th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Golden, Jared",Maine 2nd,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Goldman, Daniel",New York 10th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Gomez, Jimmy",California 34th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Gonzales, Tony",Texas 23rd,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Gonzalez, Vicente",Texas 34th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Good, Bob",Virginia 5th,Republican Party,Andy Biggs,Jim Jordan,Jim Jordan,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Kevin Hern
"Gooden, Lance",Texas 5th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Gosar, Paul",Arizona 9th,Republican Party,Andy Biggs,Jim Jordan,Jim Jordan,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds
"Gottheimer, Josh",New Jersey 5th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Granger, Kay",Texas 12th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Graves, Garret",Louisiana 6th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Graves, Sam",Missouri 6th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Green, Al",Texas 9th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Green, Mark",Tennessee 7th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Greene, Marjorie",Georgia 14th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Griffith, H.",Virginia 9th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Grijalva, Raul",Arizona 7th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Grothman, Glenn",Wisconsin 6th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Guest, Michael",Mississippi 3rd,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Guthrie, Brett",Kentucky 2nd,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Hageman, Harriet",Wyoming At Large,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Harder, Josh",California 9th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Harris, Andy",Maryland 1st,Republican Party,Lee Zeldin,Jim Jordan,Jim Jordan,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Kevin Hern,Kevin Hern
"Harshbarger, Diana",Tennessee 1st,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
